Overriding config with config/train_shakespeare_char_mac.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 80
log_interval = 1 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 2000
lr_decay_iters = 2000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
device = 'mps'  # run on cpu only
compile = False # do not torch compile the model

Overriding: n_head = 4
Overriding: n_layer = 6
tokens per iteration will be: 16,384
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: False
step 0: train loss 4.2881, val loss 4.2817
iter 0: loss 4.2632, time 23941.81ms, mfu -100.00%
iter 1: loss 4.2686, time 510.26ms, mfu -100.00%
iter 2: loss 4.1231, time 444.65ms, mfu -100.00%
iter 3: loss 3.8802, time 446.26ms, mfu -100.00%
iter 4: loss 3.6803, time 444.27ms, mfu -100.00%
iter 5: loss 3.5326, time 443.42ms, mfu 0.84%
iter 6: loss 3.4303, time 443.12ms, mfu 0.84%
iter 7: loss 3.3580, time 442.50ms, mfu 0.84%
iter 8: loss 3.3362, time 443.30ms, mfu 0.84%
iter 9: loss 3.3015, time 443.44ms, mfu 0.84%
iter 10: loss 3.2209, time 444.37ms, mfu 0.84%
iter 11: loss 3.1338, time 442.55ms, mfu 0.84%
iter 12: loss 3.1054, time 443.22ms, mfu 0.84%
iter 13: loss 3.0371, time 443.21ms, mfu 0.84%
iter 14: loss 3.0080, time 442.76ms, mfu 0.84%
iter 15: loss 2.9454, time 443.14ms, mfu 0.84%
iter 16: loss 2.9005, time 443.24ms, mfu 0.84%
iter 17: loss 2.8719, time 443.29ms, mfu 0.84%
iter 18: loss 2.8560, time 443.51ms, mfu 0.84%
iter 19: loss 2.8209, time 445.26ms, mfu 0.84%
iter 20: loss 2.7836, time 442.41ms, mfu 0.84%
iter 21: loss 2.7655, time 443.24ms, mfu 0.84%
iter 22: loss 2.7697, time 443.00ms, mfu 0.84%
iter 23: loss 2.7231, time 444.19ms, mfu 0.84%
iter 24: loss 2.6937, time 443.11ms, mfu 0.84%
iter 25: loss 2.6678, time 443.46ms, mfu 0.84%
iter 26: loss 2.6852, time 442.57ms, mfu 0.84%
iter 27: loss 2.6423, time 442.39ms, mfu 0.84%
iter 28: loss 2.6667, time 443.57ms, mfu 0.84%
iter 29: loss 2.6086, time 443.34ms, mfu 0.84%
iter 30: loss 2.6273, time 442.78ms, mfu 0.84%
iter 31: loss 2.6044, time 443.19ms, mfu 0.84%
iter 32: loss 2.6135, time 442.88ms, mfu 0.84%
iter 33: loss 2.5931, time 459.04ms, mfu 0.84%
iter 34: loss 2.5916, time 443.20ms, mfu 0.84%
iter 35: loss 2.5703, time 443.09ms, mfu 0.84%
iter 36: loss 2.5725, time 443.62ms, mfu 0.84%
iter 37: loss 2.5813, time 442.80ms, mfu 0.84%
iter 38: loss 2.5528, time 443.35ms, mfu 0.84%
iter 39: loss 2.5491, time 445.48ms, mfu 0.84%
iter 40: loss 2.5702, time 446.38ms, mfu 0.84%
iter 41: loss 2.5484, time 446.43ms, mfu 0.84%
iter 42: loss 2.5451, time 444.08ms, mfu 0.84%
iter 43: loss 2.5588, time 444.38ms, mfu 0.84%
iter 44: loss 2.5618, time 444.49ms, mfu 0.84%
iter 45: loss 2.5515, time 443.83ms, mfu 0.84%
iter 46: loss 2.5401, time 442.53ms, mfu 0.84%
iter 47: loss 2.5504, time 442.94ms, mfu 0.84%
iter 48: loss 2.5385, time 443.49ms, mfu 0.84%
iter 49: loss 2.5336, time 443.31ms, mfu 0.84%
iter 50: loss 2.5339, time 444.01ms, mfu 0.84%
iter 51: loss 2.5326, time 443.57ms, mfu 0.84%
iter 52: loss 2.5131, time 443.09ms, mfu 0.84%
iter 53: loss 2.5104, time 443.78ms, mfu 0.84%
iter 54: loss 2.5208, time 443.37ms, mfu 0.84%
iter 55: loss 2.5197, time 442.04ms, mfu 0.84%
iter 56: loss 2.5225, time 447.88ms, mfu 0.84%
iter 57: loss 2.5044, time 443.67ms, mfu 0.84%
iter 58: loss 2.5097, time 452.02ms, mfu 0.84%
iter 59: loss 2.4855, time 441.83ms, mfu 0.84%
iter 60: loss 2.5128, time 442.67ms, mfu 0.84%
iter 61: loss 2.5200, time 446.20ms, mfu 0.84%
iter 62: loss 2.5026, time 447.04ms, mfu 0.84%
iter 63: loss 2.4866, time 445.83ms, mfu 0.84%
iter 64: loss 2.4948, time 444.57ms, mfu 0.84%
iter 65: loss 2.5004, time 446.72ms, mfu 0.84%
iter 66: loss 2.5055, time 443.50ms, mfu 0.84%
iter 67: loss 2.4980, time 443.32ms, mfu 0.84%
iter 68: loss 2.5069, time 443.35ms, mfu 0.84%
iter 69: loss 2.4982, time 443.69ms, mfu 0.84%
iter 70: loss 2.4891, time 444.36ms, mfu 0.84%
iter 71: loss 2.4748, time 441.93ms, mfu 0.84%
iter 72: loss 2.4815, time 442.45ms, mfu 0.84%
iter 73: loss 2.4928, time 441.54ms, mfu 0.84%
iter 74: loss 2.4956, time 448.40ms, mfu 0.84%
iter 75: loss 2.4803, time 444.31ms, mfu 0.84%
iter 76: loss 2.4821, time 446.18ms, mfu 0.84%
iter 77: loss 2.4980, time 447.59ms, mfu 0.84%
iter 78: loss 2.4907, time 443.71ms, mfu 0.84%
iter 79: loss 2.4896, time 442.71ms, mfu 0.84%
iter 80: loss 2.4876, time 443.34ms, mfu 0.84%
iter 81: loss 2.4938, time 443.80ms, mfu 0.84%
iter 82: loss 2.4753, time 449.04ms, mfu 0.84%
iter 83: loss 2.4619, time 444.64ms, mfu 0.84%
iter 84: loss 2.4673, time 446.18ms, mfu 0.84%
iter 85: loss 2.4648, time 444.44ms, mfu 0.84%
iter 86: loss 2.4558, time 443.03ms, mfu 0.84%
iter 87: loss 2.4721, time 443.33ms, mfu 0.84%
iter 88: loss 2.4924, time 448.01ms, mfu 0.84%
iter 89: loss 2.4945, time 442.04ms, mfu 0.84%
iter 90: loss 2.4777, time 446.96ms, mfu 0.84%
iter 91: loss 2.4763, time 442.88ms, mfu 0.84%
iter 92: loss 2.4692, time 450.78ms, mfu 0.84%
iter 93: loss 2.4665, time 444.56ms, mfu 0.84%
iter 94: loss 2.4854, time 443.97ms, mfu 0.84%
iter 95: loss 2.4420, time 442.48ms, mfu 0.84%
iter 96: loss 2.4804, time 442.51ms, mfu 0.84%
iter 97: loss 2.4545, time 444.57ms, mfu 0.84%
iter 98: loss 2.4808, time 442.36ms, mfu 0.84%
iter 99: loss 2.4509, time 442.97ms, mfu 0.84%
iter 100: loss 2.4765, time 445.64ms, mfu 0.84%
iter 101: loss 2.4515, time 442.27ms, mfu 0.84%
